Category,Model,Success,Latency,Prompt Tokens,Completion Tokens,Total Tokens,Cost,Error
reasoning,openai/gpt-oss-120b,True,1.772,74,10,84,5e-06,
reasoning,qwen/qwen-plus-2025-07-28:thinking,True,5.233,15,136,151,0.00010998,
reasoning,qwen/qwen3-235b-a22b-thinking-2507,True,1.755,16,10,26,2.668e-05,
reasoning,qwen/qwen3-30b-a3b-instruct-2507,True,2.657,15,2,17,1.10835e-06,
reasoning,qwen/qwen3-coder,True,0.996,15,1,16,6.75e-06,
reasoning,openai/gpt-oss-120b:free,False,4.777,,,,,"RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'openai/gpt-oss-120b:free is temporarily rate-limited upstream. Please retry shortly, or add your ow..."
reasoning,minimax/minimax-m1,True,1.161,453,10,463,0.0002032,
reasoning,tencent/hunyuan-a13b-instruct,True,1.495,15,2,17,3.24e-06,
reasoning,arcee-ai/virtuoso-large,False,0.815,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""id"": ""orSu1US-2kFHot-a188b103f0da80b8"",\n  ""error"": {\n    ""message"": ""Unable to access non-s..."
reasoning,qwen/qwen3-30b-a3b,True,1.01,16,10,26,6.92e-06,
reasoning,qwen/qwen3-14b,True,0.665,16,10,26,4.32e-06,
reasoning,qwen/qwen3-32b,True,0.843,16,10,26,4.08e-06,
reasoning,qwen/qwen3-235b-a22b,True,1.626,15,107,122,0.000201565,
reasoning,perplexity/sonar-deep-research,False,0.349,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{""error"":{""message"":""max_tokens must be at least 16 for sonar-deep-research."",""type"":""invalid_param..."
reasoning,deepseek/deepseek-r1-distill-llama-70b,True,1.146,10,10,20,1.6e-05,
reasoning,qwen/qwen3-8b,True,5.225,15,266,281,0.000122785,
reasoning,microsoft/phi-4,True,0.506,14,2,16,1.26e-06,
reasoning,deepseek/deepseek-r1,True,1.684,10,10,20,3.2e-05,
reasoning,sao10k/l3.1-70b-hanami-x1,True,1.434,42,2,44,0.000132,
reasoning,cohere/command-r7b-12-2024,True,0.785,7,1,8,4.125e-07,
reasoning,deepseek/deepseek-r1-0528,True,10.48,12,116,128,0.00025888,
reasoning,qwen/qwen-2.5-coder-32b-instruct,True,0.711,36,2,38,2.576e-05,
reasoning,meta-llama/llama-3.2-3b-instruct,True,0.764,42,2,44,2.8078e-06,
reasoning,cohere/command-r-08-2024,True,0.814,7,2,9,2.25e-06,
reasoning,sao10k/l3.1-euryale-70b,True,0.518,17,2,19,1.615e-05,
reasoning,nousresearch/hermes-3-llama-3.1-70b,True,1.216,15,10,25,1.75e-05,
reasoning,qwen/qwen3-next-80b-a3b-instruct:free,False,37.422,,,,,"RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, o..."
reasoning,nousresearch/hermes-3-llama-3.1-405b,True,0.609,17,1,18,1.8e-05,
reasoning,sao10k/l3-lunaris-8b,True,0.501,17,1,18,7.3e-07,
reasoning,openai/gpt-4,True,0.701,14,1,15,0.00048,
reasoning,sao10k/l3.3-euryale-70b,True,24.778,18,2,20,1.32e-05,
reasoning,meta-llama/llama-3.2-3b-instruct:free,False,48.388,,,,,"RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.2-3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, o..."
reasoning,qwen/qwen3-coder:free,False,60.687,,,,,"RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'qwen/qwen3-coder:free is temporarily rate-limited upstream. Please retry shortly, or add your own k..."
reasoning,nousresearch/hermes-3-llama-3.1-405b:free,False,45.405,,,,,"RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'nousresearch/hermes-3-llama-3.1-405b:free is temporarily rate-limited upstream. Please retry shortl..."
vision,sakana/fugu-ultra,False,0.873,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{""error"":{""message"":""Invalid \'max_output_tokens\': must be greater than or equal to 16."",""type"":""i..."
vision,moonshotai/kimi-k2.7-code,True,0.823,15,10,25,5.41e-05,
vision,~x-ai/grok-latest,True,1.771,213,104,317,0.000858,
vision,x-ai/grok-4.5,True,2.213,213,233,446,0.001632,
vision,anthropic/claude-sonnet-5,True,2.619,16,4,20,7.2e-05,
vision,anthropic/claude-fable-5,True,4.744,16,10,26,0.00066,
vision,~anthropic/claude-fable-latest,True,4.819,16,10,26,0.00066,
vision,qwen/qwen3.7-plus,True,5.219,17,144,161,0.00018976,
vision,minimax/minimax-m3,True,1.331,183,10,193,3.954e-05,
vision,anthropic/claude-opus-4.8-fast,True,0.955,16,4,20,0.00036,
vision,anthropic/claude-opus-4.8,True,2.215,16,4,20,0.00018,
vision,stepfun/step-3.7-flash,True,4.01,19,10,29,1.53e-05,
vision,google/gemini-3.5-flash,True,1.138,7,1,8,1.95e-05,
vision,x-ai/grok-build-0.1,True,2.409,192,194,386,0.0004776,
vision,anthropic/claude-opus-4.7-fast,True,1.033,21,6,27,0.00153,
vision,openai/gpt-chat-latest,False,0.481,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,perceptron/perceptron-mk1,True,0.848,13,5,18,9.45e-06,
vision,google/gemini-3.1-flash-lite,True,0.891,7,1,8,3.25e-06,
vision,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,True,0.402,23,10,33,0,
vision,mistralai/mistral-medium-3-5,True,0.842,22,2,24,4.8e-05,
vision,x-ai/grok-4.3,True,1.623,198,91,289,0.0002734,
vision,nex-agi/nex-n2-pro,True,11.661,16,5,21,2.05e-05,
vision,~openai/gpt-mini-latest,False,1.203,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,~anthropic/claude-haiku-latest,True,2.729,14,4,18,3.4e-05,
vision,~google/gemini-flash-latest,True,1.144,7,1,8,1.95e-05,
vision,~openai/gpt-latest,False,0.618,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,~google/gemini-pro-latest,True,2.274,7,7,14,9.8e-05,
vision,~moonshotai/kimi-latest,True,2.166,14,37,51,0.0001613,
vision,qwen/qwen3.6-35b-a3b,True,0.41,17,10,27,1.675e-05,
vision,~anthropic/claude-sonnet-latest,True,2.164,16,4,20,7.2e-05,
vision,openai/gpt-5.5-pro,False,0.354,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,qwen/qwen3.6-27b,True,1.452,17,10,27,2.51e-05,
vision,openai/gpt-5.5,False,0.864,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,qwen/qwen3.5-plus-20260420,True,3.744,17,158,175,0.0002895,
vision,~anthropic/claude-opus-latest,True,1.619,16,4,20,0.00018,
vision,moonshotai/kimi-k2.6,True,1.124,15,10,25,4.625e-05,
vision,xiaomi/mimo-v2.5,True,2.989,254,10,264,1.20176e-05,
vision,google/gemma-4-26b-a4b-it,True,1.027,20,2,22,3.4e-06,
vision,anthropic/claude-opus-4.7,True,1.789,21,6,27,0.000255,
vision,google/gemma-4-31b-it,True,0.86,20,2,22,3.36e-06,
vision,google/gemma-4-31b-it:free,True,1.493,8,1,9,0,
vision,z-ai/glm-5v-turbo,True,1.337,12,10,22,5.152e-05,
vision,qwen/qwen3.6-flash,True,9.288,17,187,204,0.0002135625,
vision,nex-agi/nex-n2-mini,True,25.369,16,5,21,9e-07,
vision,google/gemma-4-26b-a4b-it:free,True,4.745,8,1,9,0,
vision,x-ai/grok-4.20,True,0.65,190,1,191,0.0001056,
vision,openai/gpt-5.4-nano,False,0.702,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,rekaai/reka-edge,True,0.942,12,3,15,1.5e-06,
vision,x-ai/grok-4.20-multi-agent,True,2.098,3879,886,4765,0.00303175,
vision,qwen/qwen3.6-plus,True,4.097,17,180,197,0.000356525,
vision,mistralai/mistral-small-2603,True,0.818,22,2,24,4.5e-06,
vision,openai/gpt-5.4-mini,False,1.522,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/gpt-5.4-pro,False,0.733,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/gpt-5.4,False,0.886,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/gpt-5.3-chat,False,0.923,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,qwen/qwen3.5-9b,True,1.609,17,10,27,3.2e-06,
vision,qwen/qwen3.5-35b-a3b,True,0.513,17,10,27,1.675e-05,
vision,google/gemini-3.1-flash-lite-preview,True,1.133,8,1,9,3.5e-06,
vision,bytedance-seed/seed-2.0-mini,True,1.826,55,49,104,2.51e-05,
vision,qwen/qwen3.5-flash-02-23,True,1.003,17,141,158,3.7765e-05,
vision,bytedance-seed/seed-2.0-lite,True,3.79,55,19,74,5.175e-05,
vision,qwen/qwen3.5-122b-a10b,True,1.621,17,10,27,2.522e-05,
vision,openai/gpt-5.3-codex,False,0.624,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,google/gemini-3.1-pro-preview-customtools,True,3.13,8,7,15,0.0001,
vision,google/gemini-3.1-pro-preview,True,2.889,7,7,14,9.8e-05,
vision,anthropic/claude-sonnet-4.6,True,2.766,14,4,18,0.000102,
vision,qwen/qwen3.5-plus-02-15,True,2.769,17,101,118,0.00016198,
vision,openrouter/free,True,1.061,23,10,33,0,
vision,qwen/qwen3.5-27b,True,5.977,17,101,118,0.0002475,
vision,anthropic/claude-opus-4.6,True,1.65,14,4,18,0.00017,
vision,openai/gpt-5.2-codex,False,0.718,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,qwen/qwen3.5-397b-a17b,True,2.974,17,10,27,4.435e-05,
vision,bytedance-seed/seed-1.6-flash,True,1.466,89,51,140,2.1975e-05,
vision,moonshotai/kimi-k2.5,True,2.676,14,84,98,0.00021686,
vision,bytedance-seed/seed-1.6,True,1.668,87,50,137,0.00012175,
vision,openai/gpt-5.2-pro,False,0.825,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/gpt-5.2,False,0.811,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/gpt-5.2-chat,False,0.923,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,google/gemini-3-flash-preview,True,1.727,7,1,8,6.5e-06,
vision,openai/gpt-5.1-codex-max,False,0.653,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,mistralai/devstral-2512,True,1.091,10,2,12,8e-06,
vision,mistralai/ministral-14b-2512,True,1.117,10,2,12,4.2e-06,
vision,amazon/nova-2-lite-v1,True,1.147,53,3,56,2.34e-05,
vision,mistralai/ministral-8b-2512,True,0.502,10,2,12,1.8e-06,
vision,mistralai/ministral-3b-2512,True,0.75,10,2,12,1.2e-06,
vision,z-ai/glm-4.6v,True,1.433,13,10,23,1.19e-05,
vision,openai/gpt-5.1,False,1.096,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/gpt-5.1-codex,False,0.823,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/gpt-5.1-chat,False,1.296,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,perplexity/sonar-pro-search,False,0.32,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{""error"":{""message"":""max_tokens must be at least 16"",""type"":""invalid_request"",""code"":400,""param"":""m..."
vision,amazon/nova-premier-v1,True,0.794,41,10,51,0.0002275,
vision,anthropic/claude-opus-4.5,True,1.961,14,4,18,0.00017,
vision,openai/gpt-5.1-codex-mini,False,0.908,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,qwen/qwen3-vl-32b-instruct,True,0.361,15,2,17,2.392e-06,
vision,qwen/qwen3-vl-8b-instruct,True,0.294,15,2,17,2.665e-06,
vision,openai/o3-deep-research,False,0.389,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/o4-mini-deep-research,False,0.37,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,qwen/qwen3-vl-8b-thinking,True,1.327,17,145,162,0.000199914,
vision,anthropic/claude-haiku-4.5,True,1.858,14,4,18,3.4e-05,
vision,mistralai/mistral-large-2512,True,3.995,10,2,12,8e-06,
